12-28 14:47:01.335 172.17.0.2:54325      1147     Thread-4  WARN water.default: Flatfile configuration does not include self: /172.17.0.2:54325, but contains []
12-28 14:47:02.981 172.17.0.2:54325      1147     Thread-4  WARN ai.h2o.sparkling.backend.utils.ProxyStarter: Tried using port 54323 for Flow proxy, but port was already occupied!
12-28 14:50:33.530 172.17.0.2:54325      1147   099675-278  WARN water.default: _train: Dropping bad and constant columns: [features.26, features.25, features.69, features.28, features.27, features.22, features.66, features.21, features.65, features.68, features.23, features.67, features.29, features.62, features.61, features.20, features.63, features.60, features.37, features.36, features.39, features.38, features.33, features.32, features.35, features.73, features.72, features.31, features.30, features.74, features.71, features.70, features.5, features.48, features.6, features.47, features.7, features.8, features.49, features.43, features.46, features.4, features.45, features.9, features.40, features.42, features.41, features.15, features.59, features.58, features.17, features.16, features.11, features.55, features.10, features.13, features.57, features.12, features.56, features.18, features.51, features.50, features.53, features.52]
12-28 14:50:33.572 172.17.0.2:54325      1147   099675-278  WARN water.default: _response: We have detected that your response column has only 2 unique values (0/1). If you wish to train a binary model instead of a regression model, convert your target column to categorical before training.
12-28 14:50:33.792 172.17.0.2:54325      1147       FJ-1-5  WARN water.default: _response: We have detected that your response column has only 2 unique values (0/1). If you wish to train a binary model instead of a regression model, convert your target column to categorical before training.
12-28 15:04:09.768 172.17.0.2:54325      1147   ice Thread  WARN water.default: Swapping!  GC CALLBACK, (K/V:191.6 MB + POJO:671.5 MB + FREE:160.9 MB == MEM_MAX:1.00 GB), desiredKV=128.0 MB OOM!
12-28 15:04:12.706 172.17.0.2:54325      1147   ice Thread  WARN water.default: Swapping!  GC CALLBACK, (K/V:191.6 MB + POJO:653.1 MB + FREE:179.3 MB == MEM_MAX:1.00 GB), desiredKV=128.0 MB OOM!
12-28 15:04:13.539 172.17.0.2:54325      1147   ice Thread  WARN water.default: Swapping!  GC CALLBACK, (K/V:191.6 MB + POJO:671.2 MB + FREE:161.2 MB == MEM_MAX:1.00 GB), desiredKV=128.0 MB OOM!
12-28 15:04:14.395 172.17.0.2:54325      1147   Thread-301  WARN water.default: Swapping!  OOM, (K/V:191.6 MB + POJO:671.2 MB + FREE:161.2 MB == MEM_MAX:1.00 GB), desiredKV=128.0 MB OOM!
12-28 15:04:14.850 172.17.0.2:54325      1147   Thread-301  WARN water.default: Swapping!  OOM, (K/V:191.6 MB + POJO:560.1 MB + FREE:272.3 MB == MEM_MAX:1.00 GB), desiredKV=128.0 MB OOM!
12-28 15:04:15.273 172.17.0.2:54325      1147   Thread-301  WARN water.default: Swapping!  OOM, (K/V:191.6 MB + POJO:565.9 MB + FREE:266.5 MB == MEM_MAX:1.00 GB), desiredKV=128.0 MB OOM!
12-28 15:04:15.645 172.17.0.2:54325      1147   Thread-301  WARN water.default: Swapping!  OOM, (K/V:191.6 MB + POJO:566.9 MB + FREE:265.5 MB == MEM_MAX:1.00 GB), desiredKV=128.0 MB OOM!
12-28 15:04:16.003 172.17.0.2:54325      1147   Thread-301  WARN water.default: Swapping!  OOM, (K/V:191.6 MB + POJO:569.9 MB + FREE:262.5 MB == MEM_MAX:1.00 GB), desiredKV=128.0 MB OOM!
12-28 15:04:16.349 172.17.0.2:54325      1147   Thread-301  WARN water.default: Swapping!  OOM, (K/V:191.6 MB + POJO:572.9 MB + FREE:259.5 MB == MEM_MAX:1.00 GB), desiredKV=128.0 MB OOM!
12-28 15:04:16.711 172.17.0.2:54325      1147   Thread-301  WARN water.default: Swapping!  OOM, (K/V:191.6 MB + POJO:571.9 MB + FREE:260.5 MB == MEM_MAX:1.00 GB), desiredKV=128.0 MB OOM!
12-28 15:04:17.044 172.17.0.2:54325      1147   Thread-301  WARN water.default: Swapping!  OOM, (K/V:191.6 MB + POJO:571.9 MB + FREE:260.5 MB == MEM_MAX:1.00 GB), desiredKV=128.0 MB OOM!
12-28 15:04:17.048 172.17.0.2:54325      1147   ice Thread  WARN water.default: Swapping!  GC CALLBACK, (K/V:191.6 MB + POJO:576.9 MB + FREE:255.5 MB == MEM_MAX:1.00 GB), desiredKV=128.0 MB OOM!
12-28 15:04:17.051 172.17.0.2:54325      1147   ice Thread  WARN water.default: Swapping!  GC CALLBACK, (K/V:191.6 MB + POJO:577.9 MB + FREE:254.5 MB == MEM_MAX:1.00 GB), desiredKV=128.0 MB OOM!
12-28 15:04:17.404 172.17.0.2:54325      1147   Thread-301  WARN water.default: Swapping!  OOM, (K/V:191.6 MB + POJO:577.9 MB + FREE:254.5 MB == MEM_MAX:1.00 GB), desiredKV=128.0 MB OOM!
12-28 15:04:17.764 172.17.0.2:54325      1147   Thread-301  WARN water.default: Swapping!  OOM, (K/V:191.6 MB + POJO:577.9 MB + FREE:254.5 MB == MEM_MAX:1.00 GB), desiredKV=128.0 MB OOM!
12-28 15:04:17.784 172.17.0.2:54325      1147   ice Thread  WARN water.default: Swapping!  GC CALLBACK, (K/V:191.6 MB + POJO:579.0 MB + FREE:253.5 MB == MEM_MAX:1.00 GB), desiredKV=128.0 MB OOM!
12-28 15:04:39.078 172.17.0.2:54325      1147   ice Thread  WARN water.default: Swapping!  GC CALLBACK, (K/V:244.4 MB + POJO:532.6 MB + FREE:247.0 MB == MEM_MAX:1.00 GB), desiredKV=128.0 MB OOM!
12-28 15:04:48.924 172.17.0.2:54325      1147   ice Thread  WARN water.default: Swapping!  GC CALLBACK, (K/V:270.8 MB + POJO:536.5 MB + FREE:216.7 MB == MEM_MAX:1.00 GB), desiredKV=128.0 MB OOM!
12-28 15:04:56.105 172.17.0.2:54325      1147   ice Thread  WARN water.default: Swapping!  GC CALLBACK, (K/V:297.2 MB + POJO:490.5 MB + FREE:236.3 MB == MEM_MAX:1.00 GB), desiredKV=128.0 MB OOM!
12-28 15:04:56.370 172.17.0.2:54325      1147   ice Thread  WARN water.default: Swapping!  GC CALLBACK, (K/V:297.2 MB + POJO:508.4 MB + FREE:218.4 MB == MEM_MAX:1.00 GB), desiredKV=128.0 MB OOM!
12-28 15:04:57.483 172.17.0.2:54325      1147   ice Thread  WARN water.default: Swapping!  GC CALLBACK, (K/V:297.2 MB + POJO:490.3 MB + FREE:236.5 MB == MEM_MAX:1.00 GB), desiredKV=128.0 MB OOM!
12-28 15:04:58.668 172.17.0.2:54325      1147       FJ-1-3  WARN water.default: Swapping!  OOM, (K/V:297.2 MB + POJO:442.3 MB + FREE:284.5 MB == MEM_MAX:1.00 GB), desiredKV=203.5 MB OOM!
12-28 15:04:59.051 172.17.0.2:54325      1147       FJ-1-3  WARN water.default: Swapping!  OOM, (K/V:297.2 MB + POJO:422.6 MB + FREE:304.1 MB == MEM_MAX:1.00 GB), desiredKV=242.7 MB OOM!
12-28 15:04:59.404 172.17.0.2:54325      1147       FJ-1-3  WARN water.default: Swapping!  OOM, (K/V:297.2 MB + POJO:422.6 MB + FREE:304.1 MB == MEM_MAX:1.00 GB), desiredKV=242.7 MB OOM!
